ID, Övning, Utrustning, Höger.Vänster, Försök_1, Försök_2, Försök_3, Försök_4, Försök_5, Försök_6, Försök_7, Försök_8, Försök_9, Försök_10
119, Snabba vändningar, klubba, , 0.467, 0.631, 0.702, 0.566, 0.769, 0.697, 0.533, 0.933, 0.634, 0.833
118, Snabba vändningar, klubba, , 1.833, 0.498, 0.9, 0.399, 0.57, 0.997, 0.7, 0.569, 0.765, 0.567
119, Snabba vändningar, fot, , 1.034, 0.897, 1.068, 1.233, 1.736, 0.903, 2.964, 3.815, 1.082, 1.035
118, Snabba vändningar, fot, , 3.231, 1.269, 0.962, 1.238, 1.032, 1.101, 1.068, 0.996, 1.365, 0.871
103, Snabba vändningar, fot, , 0.702, 1.416, 1.447, 1.5, 1.336, 1.303, 0.863, 2.268, 1.097, 0.967
107, Snabba vändningar, fot, , 0.699, 1.03, 1.57, 1.098, 1.169, 1.197, 1.166, 1.303, 1, 1.032
103, Snabba vändningar, klubba, , 0.603, 1.036, 1.196, 0.933, 1.505, 0.996, 1.102, 0.969, 1.13, 0.834
107, Snabba vändningar, klubba, , 0.699, 0.832, 0.772, 0.73, 0.668, 0.598, 0.77, 1.099, 0.864, 1.235
96, Snabba vändningar, fot, , 1.265, 1.367, 1.102, 1.164, 1.034, 2.066, 1.132, 1.267, 2.167, 1.096
109, Snabba vändningar, fot, , 1.402, 1.535, 1.633, 1.90583333333333, 1.331, 1.967, 1.67, 1.9, 1.331, 3.236
96, Snabba vändningar, klubba, , 1.166, 1.167, 1.029, 1.071, 1.033, 1.03, 0.97, 1.363, 1.134, 1.069
109, Snabba vändningar, klubba, , 1.503, 1.335, 1.234, 1.333, 1.301, 1.231, 0.966, 1.033, 1.165, 1.235
104, Snabba vändningar, fot, , 0.606, 1.263, 1.067, 0.935, 0.834, 1.231, 0.805, 0.963, 0.803, 0.836
114, Snabba vändningar, fot, , 0.796, 0.869, 0.831, 0.799, 1.267, 0.571, 1.331, 0.667, 0.891375, 0.668
100, Snabba vändningar, fot, , 0.767, 1.069, 1.234, 1.1, 1.094, 4.333, 1.701, 1.173, 1.262, 1.733
104, Snabba vändningar, klubba, , 0.335, 1.098, 0.571, 0.53, 0.501, 0.595, 0.505, 0.564, 0.504, 0.467
114, Snabba vändningar, klubba, , 0.836, 0.698, 0.935, 0.7, 0.965, 0.768, 0.867, 0.6, 1.901, 0.7
100, Snabba vändningar, klubba, , 0.736, 0.566, 0.703, 0.661, 0.704, 0.728, 0.867, 0.805, 0.76, 0.604
122, Snabba vändningar, klubba, , 0.396, 0.834, 0.67, 0.597, 0.635, 0.634, 0.666, 0.6, 0.665, 0.537
122, Snabba vändningar, fot, , 0.766, 1.199, 1.098, 1.403, 1.098, 1.267, 1.164, 1.201, 1.204, 1.431
120, Snabba vändningar, klubba, , 0.665, 0.835, 0.747428571428571, 0.638, 0.728, 0.699, 0.604, 1.262, 0.504, 0.797
120, Snabba vändningar, fot, , 1.133, 1.397, 1.37, 1.5, 1.199, 1.2, 1.632, 1.302, 1.634, 1.732
108, Snabba vändningar, klubba, , 0.665, 1.064, 0.899, 0.97, 0.599, 1.133, 0.67, 0.799, 0.745, 0.985
108, Snabba vändningar, fot, , 0.867, 1.233, 0.799, 1.1, 1.836, 1.463, 2.07, 1.019, 1.248, 2.032
113, Snabba vändningar, fot, , 0.735, 1.401, 2.898, 1.43, 2.471, 2.231, 0.834, 3.636, 1.167, 2.93
113, Snabba vändningar, klubba, , 0.97, 1.401, 1.266, 1.271, 1.263, 1.364, 1.401, 1.199, 1.398, 1.271
101, Snabba vändningar, klubba, , 0.83, 0.836, 1.134, 0.9, 0.93, 0.8, 1.739, 0.764, 0.898, 0.737
101, Snabba vändningar, fot, , 0.696, 0.865, 1.535, 2.168, 1.364, 2.699, 1.406, 1.496, 1.806, 1.097
112, Snabba vändningar, fot, , 0.965, 1.365, 5.202, 5.067, 1.698, 2.668, 3.03, 1.603, 3.832, 2.431
112, Snabba vändningar, klubba, , 1.403, 1.601, 2.468, 1.268, 1.628, 1.6736, 2.368, 1.6, 1.964, 1.87
102, Snabba vändningar, klubba, , 0.901, 1.569, 1.429, 1.501, 1.434, 1.434, 1.297, 1.371, 1.364, 1.335
105, Snabba vändningar, klubba, , 1.17, 1.028, 2.405, 0.798, 2.568, 0.832, 1, 1.066, 1.135, 1.198
102, Snabba vändningar, fot, , 1.33, 1.936, 1.597, 1.867, 1.501, 1.966, 1.798, 1.366, 1.203, 1.967
105, Snabba vändningar, fot, , 0.666, 1.13, 1.033, 3.6, 1.3134, 1.734, 1.033, 1.333, 1.2, 1.267
121, Snabba vändningar, fot, , 1.335, 1.48, 1.603, 1.563, 1.3, 1.467, 1.269, 1.132, 1.265, 1.633
94, Snabba vändningar, fot, , 0.833, 2.263, 1.271, 1.732, 2.33, 1.865, 1.131, 2.368, 1.565, 1.87
121, Snabba vändningar, klubba, , 1.027, 1.241, 1.262, 1.101, 1.132, 0.969, 1.166, 1.265, 1.135, 1.399
94, Snabba vändningar, klubba, , 0.832, 1.202, 1.766, 1.031, 1.265, 1.068, 1.066, 1.098, 1.37, 0.799
110, Snabba vändningar, klubba, , 0.668, 0.969, 0.969, 0.798, 0.93, 0.703, 0.867, 0.735, 0.862, 0.672
110, Snabba vändningar, fot, , 1.843, 1.57, 1.801, 2.393, 1.171, 1.297, 2.635, 1.102, 1.829, 1.499
95, Snabba vändningar, klubba, , 1.067, 2.535, 2.565, 2.735, 2.165, 1.801, 1.635, 1.866, 1.802, 1.498
97, Snabba vändningar, fot, , 1.48, 1.613, 1.932, 2.634, 1.899, 2.4, 2.335, 2.967, 3.43, 2.237
