ID, Övning, Utrustning, Höger.Vänster, Försök_1, Försök_2, Försök_3, Försök_4, Försök_5, Försök_6, Försök_7, Försök_8, Försök_9, Försök_10
121, Minigolf, klubba, höger, 0, 0, 1, 0, 0, 0, , , , 
94, Minigolf, klubba, höger, 0, 0, 2, 1, 2, 1, , , , 
98, Minigolf, klubba, höger, 0, 3, 1, 0, 1, 0, , , , 
97, Minigolf, klubba, höger, 0, 0, 0, 0, 0, 0, , , , 
99, Minigolf, klubba, höger, 0, 1, 0, 0, 3, 1, , , , 
111, Minigolf, klubba, höger, 0, 1, 0, 2, 2, 0, , , , 
120, Minigolf, klubba, höger, 0, 1, 3, 1, 3, 0, , , , 
102, Minigolf, klubba, höger, 0, 2, 0, 1, 3, 3, , , , 
105, Minigolf, klubba, höger, 0, 0, 0, 0, 0, 0, , , , 
103, Minigolf, klubba, höger, 0, 1, 2, 1, 0, 0, , , , 
107, Minigolf, klubba, höger, 3, 0, 2, 0, 3, 0, , , , 
106, Minigolf, klubba, höger, 0, 1, 0, 3, 3, 3, , , , 
117, Minigolf, klubba, höger, 0, 3, 0, 1, 2, 0, , , , 
115, Minigolf, klubba, höger, 2, 0, 0, 2, 0, 0, , , , 
122, Minigolf, klubba, höger, 0, 2, 0, 0, 0, 3, , , , 
110, Minigolf, klubba, höger, 1, 0, 2, 0, 2, 0, , , , 
95, Minigolf, klubba, höger, 0, 1, 2, 2, 3, 1, , , , 
101, Minigolf, klubba, vänster, 0, 0, 3, 2, 2, 3, , , , 
112, Minigolf, klubba, vänster, 0, 0, 2, 0, 3, 1, , , , 
119, Minigolf, klubba, höger, 2, 0, 3, 1, 2, 3, , , , 
118, Minigolf, klubba, vänster, 3, 2, 2, 0, 2, 0, , , , 
96, Minigolf, klubba, höger, 0, 0, 2, 0, 0, 0, , , , 
109, Minigolf, klubba, höger, 0, 0, 0, 3, 0, 0, , , , 
108, Minigolf, klubba, höger, 0, 0, 0, 2, 0, 0, , , , 
113, Minigolf, klubba, höger, 2, 0, 2, 2, 2, 3, , , , 
116, Minigolf, klubba, höger, 0, 0, 0, 0, 1, 1, , , , 
104, Minigolf, klubba, höger, 0, 1, 0, 2, 2, 0, , , , 
114, Minigolf, klubba, höger, 0, 1, 3, 0, 0, 2, , , , 
100, Minigolf, klubba, höger, 1, 1, 0, 1, 2, 3, , , , 
