ID, Övning, Utrustning, Höger/Vänster, Försök_1, Försök_2, Försök_3, Försök_4, Försök_5, Försök_6, Försök_7, Försök_8, Försök_9, Försök_10
53, Kanonen, klubba, , 8.0, , , , , , , , , 
51, Kanonen, klubba, , 8.0, , , , , , , , , 
56, Kanonen, klubba, , 9.0, , , , , , , , , 
59, Kanonen, klubba, , 9.0, , , , , , , , , 
52, Kanonen, klubba, , 6.0, , , , , , , , , 
62, Kanonen, klubba, , 8.0, , , , , , , , , 
45, Kanonen, klubba, , 5.0, , , , , , , , , 
67, Kanonen, klubba, , 6.0, , , , , , , , , 
44, Kanonen, klubba, , 6.0, , , , , , , , , 
57, Kanonen, klubba, , 8.0, , , , , , , , , 
60, Kanonen, klubba, , 8.0, , , , , , , , , 
63, Kanonen, klubba, , 10.0, , , , , , , , , 
54, Kanonen, klubba, , 10.0, , , , , , , , , 
58, Kanonen, klubba, , 9.0, , , , , , , , , 
43, Kanonen, klubba, , 6.0, , , , , , , , , 
48, Kanonen, klubba, , 2.0, , , , , , , , , 
50, Kanonen, klubba, , 3.0, , , , , , , , , 
49, Kanonen, klubba, , 7.0, , , , , , , , , 
42, Kanonen, klubba, , 9.0, , , , , , , , , 
55, Kanonen, klubba, , 4.0, , , , , , , , , 
47, Kanonen, klubba, , 7.0, , , , , , , , , 
66, Kanonen, klubba, , 9.0, , , , , , , , , 
61, Kanonen, klubba, , 8.0, , , , , , , , , 
46, Kanonen, klubba, , 7.0, , , , , , , , , 
33, Kanonen, klubba, , 5.0, , , , , , , , , 
32, Kanonen, klubba, , 2.0, , , , , , , , , 
34, Kanonen, klubba, , 5.0, , , , , , , , , 
35, Kanonen, klubba, , 6.0, , , , , , , , , 
36, Kanonen, klubba, , 5.0, , , , , , , , , 
40, Kanonen, klubba, , 7.0, , , , , , , , , 
41, Kanonen, klubba, , 6.0, , , , , , , , , 
28, Kanonen, klubba, , 7.0, , , , , , , , , 
37, Kanonen, klubba, , 9.0, , , , , , , , , 
22, Kanonen, klubba, , 9.0, , , , , , , , , 
13, Kanonen, klubba, , 8.0, , , , , , , , , 
14, Kanonen, klubba, , 8.0, , , , , , , , , 
39, Kanonen, klubba, , 7.0, , , , , , , , , 
30, Kanonen, klubba, , 7.0, , , , , , , , , 
31, Kanonen, klubba, , 5.0, , , , , , , , , 
15, Kanonen, klubba, , 8.0, , , , , , , , , 
16, Kanonen, klubba, , 12.0, , , , , , , , , 
27, Kanonen, klubba, , 13.0, , , , , , , , , 
25, Kanonen, klubba, , 7.0, , , , , , , , , 
38, Kanonen, klubba, , 6.0, , , , , , , , , 
17, Kanonen, klubba, , 3.0, , , , , , , , , 
20, Kanonen, klubba, , 8.0, , , , , , , , , 
18, Kanonen, klubba, , 5.0, , , , , , , , , 
19, Kanonen, klubba, , 8.0, , , , , , , , , 
23, Kanonen, klubba, , 7.0, , , , , , , , , 
26, Kanonen, klubba, , 19.0, , , , , , , , , 
21, Kanonen, klubba, , 4.0, , , , , , , , , 
