ID,"Snabba vändningar fot, Utrustning","Snabba vändningar fot, #1","Snabba vändningar fot, #2","Snabba vändningar fot, #3","Snabba vändningar fot, #4","Snabba vändningar fot, #5","Snabba vändningar fot, #6","Snabba vändningar fot, #7","Snabba vändningar fot, #8","Snabba vändningar fot, #9","Snabba vändningar fot, #10","Tennisboll över bom, Utrustning","Tennisboll över bom, #1","Droppboll, Utrustning","Droppboll, #1","Droppboll, #2","Droppboll, #3","Droppboll, #4","Droppboll, #5","Droppboll, #6","Droppboll, #7","Jonglera med armbåge, Utrustning","Jonglera med armbåge, #1","Jonglera med armbåge, #2","Jonglera med armbåge, #3","Kasta och fånga, Utrustning","Kasta och fånga, #1","Kasta och fånga, #2","Jonglera mot vägg, Utrustning","Jonglera mot vägg, #1","Jonglera mot vägg, #2","Jonglera mot vägg, #3","Kanonen, Utrustning","Kanonen, #1","Jonglera med knä, Utrustning","Jonglera med knä, #1","Jonglera med knä, #2","Jonglera med knä, #3","Studsa basket, Utrustning","Studsa basket, #1","Studsa basket, #2","Balansera bollen, Utrustning","Balansera bollen, #1","Balansera bollen, #2","Balansera bollen, #3","Minigolf, Utrustning","Minigolf, Höger/Vänster","Minigolf, #1","Minigolf, #2","Minigolf, #3","Minigolf, #4","Minigolf, #5","Minigolf, #6","Snabba vändningar klubba, Utrustning","Snabba vändningar klubba, #1","Snabba vändningar klubba, #2","Snabba vändningar klubba, #3","Snabba vändningar klubba, #4","Snabba vändningar klubba, #5","Snabba vändningar klubba, #6","Snabba vändningar klubba, #7","Snabba vändningar klubba, #8","Snabba vändningar klubba, #9","Snabba vändningar klubba, #10"
1, fot,1.636,1.915,1.465,2.8360000000000003,1.466,2.8169999999999997,1.847,1.765,1.268,1.768, rack,3.0, rack,4.8520002365112305,5.05200004577637,4.5460000038147, 4.52199983596802, 5.37200021743774, 10.9650001525879, 6.78599977493286, armbåge,3.0,4.0,3.0, hand,4.0, 12.0, fot,2.0,1.0, 2.0, klubba,8.0, lår,2.0,4.0, 4.0, hand,11.0,14.0, slagträ,1.57299995422363,1.55400002002716, 2.76900005340576, klubba, höger,0.0,3.0, 0.0, 0.0, 0.0, 3.0, klubba,1.501,1.5659999999999998,2.371,1.53,2.5069999999999997,1.46,1.4680000000000002,1.17,1.147,1.1840000000000002
2, fot,1.304,1.227,2.506,1.329,1.5019999999999998,4.435,3.5010000000000003,1.994,1.57,2.568, rack,3.0, rack,11.538999557495101,5.86899995803833,4.92000007629395, 15.0, 4.71600008010864, 15.0, 5.68699979782104, armbåge,4.0,4.0,5.0, hand,2.0, 11.0, fot,5.0,2.0, 2.0, klubba,4.0, lår,2.0,2.0, 2.0, hand,3.0,8.0, slagträ,2.56900000572205,1.3029999732971203, 0.634999990463257, klubba, höger,2.0,2.0, 2.0, 1.0, 0.0, 0.0, klubba,1.16,1.795,1.367,1.004,1.399,1.337,1.232,1.0959999999999999,1.068,0.87
3, fot,2.427,2.971,2.7960000000000003,3.0180000000000002,2.861,3.1689999999999996,2.396,3.0380000000000003,2.366,5.8, rack,1.0, rack,15.0,9.94400024414062,15.0, 15.0, 15.0, 7.3730001449585, 15.0, armbåge,2.0, 3.0, 2.0, hand,2.0, 2.0, fot,2.0, 0.0, 0.0, klubba,6.0, lår,1.0,1.0,2.0, hand,4.0,5.0, slagträ,0.6359999775886539,0.47299998998641996, 0.879000008106232, klubba, vänster,0.0,2.0, 0.0, 0.0, 0.0, 0.0, klubba,0.836,1.733,1.63,1.305,1.578,1.271,1.3980000000000001,1.3969999999999998,1.4380000000000002,1.13
4, fot,1.3019999999999998,3.5660000000000003,7.362,4.668,5.263,4.837,3.0980000000000003,3.306,3.264,3.4339999999999997, rack,1.0, rack,15.0,15.0,15.0, 14.9820003509521, 15.0, 15.0, 15.0, armbåge,1.0, 1.0, 1.0, hand,0.0, 0.0, fot,1.0, 0.0, 0.0, klubba,7.0, lår,1.0, 1.0, 2.0, hand,7.0,9.0, slagträ,0.6549999713897711,1.84800004959106, 0.981000006198883, klubba, höger,0.0,2.0, 1.0, 3.0, 0.0, 3.0, klubba,1.139,2.233,2.7680000000000002,1.565,2.234,1.5330000000000001,1.364,1.338,4.331,3.568
5, fot,1.435,1.465,4.98,2.6510000000000002,2.8680000000000003,2.597,4.037,2.965,3.6289999999999996,4.168, rack,3.0, rack,15.0,14.9930000305176,7.125999927520749, 15.0, 15.0, 10.798999786377, 9.82999992370605, armbåge,2.0, 3.0, 2.0, hand,9.0, 2.0, fot,1.0, 1.0, 0.0, klubba,5.0, lår,1.0,1.0,1.0, hand,14.0,7.0, slagträ,2.08299994468689,2.5069999694824197, 0.430000007152557, klubba, höger,0.0,0.0, 0.0, 0.0, 0.0, 0.0, klubba,1.228,1.136,0.9,0.935,0.997,1.068,0.835,1.2990000000000002,0.929,0.775
6, fot,1.133,1.797,1.62,2.898,1.7309999999999999,2.238,1.6640000000000001,4.133,2.971,2.36, rack,2.0, rack,10.5550003051758,7.73600006103516,7.58300018310547, 6.72300004959106, 6.40999984741211, 6.47100019454956, 5.56699991226196, armbåge,5.0, 5.0, 4.0, hand,3.0, 0.0, fot,0.0, 0.0, 1.0, klubba,4.0, lår,1.0, 3.0, 5.0, hand,13.0,12.0, slagträ,1.0700000524520898,2.77800011634827, 1.29900002479553, klubba, höger,2.0,0.0, 0.0, 0.0, 0.0, 0.0, klubba,1.24611111111111,1.5019999999999998,1.203,1.365,1.537,1.145,0.76,1.172,1.3,1.2309999999999999
7, fot,1.495,2.197,2.369,2.367,2.499,2.77,2.529,2.367,0.733,1.3030000000000002, rack,4.0, rack,7.2960000038147,5.96799993515015,11.2329998016357, 11.5109996795654, 7.09700012207031, 5.99300003051758, 5.51000022888184, armbåge,3.0, 5.0, 2.0, hand,1.0, 4.0, fot,1.0,1.0, 1.0, klubba,7.0, lår,2.0,2.0, 2.0, hand,5.0,3.0, slagträ,0.6930000185966488,1.06299996376038, 1.41600000858307, klubba, höger,0.0, 2.0, 0.0, 2.0, 0.0, 2.0, klubba,1.591,2.0869999999999997,1.66,1.472,1.666,1.4969999999999999,1.7990000000000002,1.224,1.7309999999999999,1.7
8, fot,1.4680000000000002,2.366,2.679,1.699,3.3680000000000003,3.034,3.033,2.9019999999999997,2.535,1.83, rack,1.0, rack,10.897000312805199,15.0,15.0, 15.0, 15.0, 15.0, 15.0, armbåge,2.0, 2.0, 2.0, hand,0.0, 1.0, fot,0.0,1.0, 2.0, klubba,9.0, lår,3.0,1.0, 2.0, hand,3.0,4.0, slagträ,1.03100001811981,0.570999979972839, 1.66400003433228, klubba, höger,1.0, 0.0, 0.0, 0.0, 1.0, 3.0, klubba,0.935,1.77,2.401,1.462,1.9709999999999999,1.5959999999999999,1.633,1.771,1.764,1.876
9, fot,1.203,1.444,1.72,2.218,1.829,3.37,1.8659999999999999,1.8630000000000002,3.065,1.635, rack,2.0, rack,15.0,15.0,15.0, 14.9370002746582, 6.73699998855591, 5.44700002670288, 5.95499992370605, armbåge,2.0,1.0,2.0, hand,2.0, 0.0, fot,3.0, 0.0, 2.0, klubba,4.0, lår,2.0,2.0, 2.0, hand,12.0,12.0, slagträ,0.8759999871253971,1.3159999847412098, 0.125, klubba, höger,0.0,0.0,0.0, 0.0, 2.0, 1.0, klubba,0.902,1.3940000000000001,1.169,0.968,1.3,1.3319999999999999,1.133,1.219,1.367,1.2309999999999999
10, fot,1.564,2.267,1.841,1.944,2.03,1.5530000000000002,2.499,2.1519999999999997,2.2969999999999997,2.1, rack,4.0, rack,8.831000328063961,5.45499992370605,6.69799995422363, 4.72599983215332, 5.26999998092651, 5.24900007247925, 4.55000019073486, armbåge,1.0,4.0,4.0, hand,14.0, 4.0, fot,4.0, 2.0, 1.0, klubba,6.0, lår,2.0,2.0, 2.0, hand,11.0,13.0, slagträ,1.27199995517731,1.32400000095367, 0.90200001001358, klubba, vänster,0.0,0.0,0.0, 0.0, 2.0, 0.0, klubba,1.099,1.1520000000000001,1.281,1.1320000000000001,1.236,1.131,1.432,1.04,0.995,0.9359999999999999
