ID,Höger/Vänster,Snabba vändningar fot,Tennisboll över bom,Droppboll,Jonglera med armbåge,Kasta och fånga,Jonglera mot vägg,Kanonen,Jonglera med knä,Studsa basket,Balansera bollen,Minigolf,Snabba vändningar klubba
1, höger,18.783,3.0,4.813333352406819,4.0,12.0,2.0,8.0,4.0,14.0,2.76900005340576,6.0,15.904
2, höger,21.936,3.0,5.107666651407876,5.0,11.0,5.0,4.0,2.0,8.0,2.56900000572205,7.0,12.328
3, vänster,30.842000000000002,1.0,12.457666714986166,3.0,2.0,2.0,6.0,2.0,5.0,0.879000008106232,2.0,13.716000000000001
4, höger,40.1,1.0,14.994000116984033,1.0,0.0,1.0,7.0,2.0,9.0,1.84800004959106,9.0,22.073
5, höger,30.795,3.0,9.251666545867934,3.0,9.0,1.0,5.0,1.0,14.0,2.5069999694824197,0.0,10.102
6, höger,22.544999999999998,2.0,6.149333318074543,5.0,3.0,1.0,4.0,5.0,13.0,2.77800011634827,2.0,12.46111111111111
7, höger,20.629,4.0,6.200000127156577,5.0,4.0,1.0,7.0,2.0,5.0,1.41600000858307,6.0,16.427
8, höger,24.914,1.0,15.0,2.0,1.0,2.0,9.0,3.0,4.0,1.66400003433228,5.0,17.179000000000002
9, höger,20.213,2.0,6.04633331298828,2.0,2.0,3.0,4.0,2.0,12.0,1.3159999847412098,3.0,12.014999999999999
10, vänster,20.247,4.0,4.84166669845581,4.0,14.0,4.0,6.0,2.0,13.0,1.32400000095367,2.0,11.434
11, höger,30.299999999999997,2.0,3.4856665929158535,3.0,4.0,1.0,5.0,6.0,8.0,0.7979999780654911,1.0,26.785999999999998
12, vänster,28.163999999999998,6.0,4.756666660308837,3.0,12.0,1.0,3.0,6.0,18.0,4.08500003814697,9.0,21.564
13, höger,29.032000000000004,6.0,4.276666641235351,4.0,8.0,0.0,8.0,4.0,5.0,2.34500002861023,6.0,8.448888888888888
14, höger,29.104,1.0,6.1303332646687805,4.0,12.0,1.0,8.0,3.0,9.0,3.19199991226196,9.0,9.768
15, vänster,12.052,4.0,2.625,9.0,20.0,11.0,8.0,14.0,21.0,3.0710000991821302,3.0,7.511
